gene,statistic_ir,pvalue_ir,statistic_gc,pvalue_gc,statistic_ic,pvalue_ic,n_spots_expressed,n_isoforms,padj_ir,padj_gc,padj_ic,sample,n_spots,padj_ir_global,padj_gc_global,padj_ic_global
TIMP2,7.098297993750132e-05,0.5565001893627719,0.000277853613150511,0.00012690693116965045,0.03900440571547857,0.47795832485279743,1418,2,0.5565001893627719,0.00012690693116965045,0.47795832485279743,ZH881T1,2770,0.6172093009296198,0.00015080498963666256,0.49138412049472996
SPP1,0.00013421605739199336,2.5034162986591306e-06,0.006766678737839336,2.5625882695764484e-15,0.24987878590096219,2.795564363860387e-13,1020,2,3.25444118825687e-05,8.328411876123457e-15,1.8171168365092517e-12,ZH881inf,1044,7.3891158492680795e-06,4.008150883183676e-15,5.94870091379594e-13
SERPINE1,0.00025714793341417765,4.728970017962401e-05,0.007876718101306737,2.931908711787728e-16,0.9402047557759363,1.6027389375740048e-16,494,6,0.0003073830511675561,1.2704937751080155e-15,2.0835606188462063e-15,ZH881inf,1044,0.00011854815250508486,4.665559080496994e-16,3.621002784889418e-16
EDIL3,1.7074571127769873e-05,0.001686681247668141,0.0019732391539483488,2.656186805459229e-06,0.2386496490345878,2.7705373248019703e-09,586,2,0.007308952073228611,4.932918352995711e-06,9.004246305606403e-09,ZH881inf,1044,0.003468119868800784,3.4231139816833727e-06,4.970669906262358e-09
NCAM1,0.0003320126283306433,0.015519205915448605,0.0030958578526538477,0.00034889610728175386,0.5126350877554078,3.3161422868997925e-05,699,5,0.05043741922520797,0.0005039610438514222,7.18497495494955e-05,ZH881inf,1044,0.028979741658439744,0.00040410118754785417,4.974213430349689e-05
TIMP2,5.131765063462962e-05,0.14862595919648497,0.00044983510284648544,0.06202370452674161,0.21461703289362796,0.024725528400369776,170,2,0.3864274939108609,0.06719234657063673,0.03214318692048071,ZH881inf,1044,0.2076225231523416,0.06376594341794221,0.02957367122397169
SERPINE2,5.2719595033353686e-05,0.2965236081483137,0.0010593418679962266,0.08682403707530234,0.14458084627562373,0.0545203183861044,438,2,0.6146718952204472,0.08682403707530234,0.0644331035472143,ZH881inf,1044,0.38759871636529575,0.08876423902111916,0.06314695104213357
HMGB1,0.00026169568567424595,0.33097717434947155,0.0055394246869831885,5.020259381482989e-07,0.4980660611415113,0.00012537303015063573,745,5,0.6146718952204472,1.3052674391855773e-06,0.00020373117399478306,ZH881inf,1044,0.4217289313846044,6.705893918331292e-07,0.00017785476370206464
AGT,7.797193502293624e-06,0.41086641106277383,0.0021727129524685587,3.607428205928658e-06,0.10273983588666818,0.0024409241366387447,795,2,0.6676579179770075,5.8620708346340686e-06,0.003525779308478187,ZH881inf,1044,0.4979374385727656,4.584440011701003e-06,0.0031237001189153165
C3,7.067573017137295e-05,0.4706959630854892,0.004861584113984943,4.737896717978805e-21,0.21529650404479483,3.754972448183859e-11,658,2,0.6785439005524488,3.0796328666862236e-20,1.627154727546339e-10,ZH881inf,1044,0.5593335145756138,7.811127021532625e-21,7.233262715975224e-11
APP,5.2749258491760446e-05,0.5248181425248057,0.003614716900656013,2.0839522160202447e-06,0.04936387660927793,0.16015688220727942,878,2,0.6785439005524488,4.515229801377197e-06,0.16755650629058086,ZH881inf,1044,0.5965324228698102,2.7047039399411685e-06,0.17762854208443718
SPARC,9.261163841019327e-05,0.5741525312366875,0.011536737629013864,4.0038156636824374e-37,0.12038945178557219,1.5168729388390235e-06,962,2,0.6785439005524488,5.2049603627871687e-36,3.943869640981461e-06,ZH881inf,1044,0.6329512844356254,8.935344712852268e-37,2.4565287416596575e-06
DKK3,5.674332309663514e-05,0.7267408633469636,0.0019471955191503808,0.0005164091703440373,0.13568206908840796,0.00010434427069383948,641,2,0.7873026019592105,0.0006713319214472484,0.00019378221700284474,ZH881inf,1044,0.7643309080028411,0.0005906429885809926,0.00014917969950759864
VCAN,0.00010696987680086798,0.7952932234142485,0.000790542529608332,0.004689705975150817,0.3706273581658276,0.16755650629058086,224,4,0.7952932234142485,0.005542379788814601,0.16755650629058086,ZH881inf,1044,0.8130651390212708,0.005048330549721173,0.1836098242585407
SPP1,0.000171213549364145,5.141005726312005e-124,0.012344979078841472,7.067120812352292e-196,0.3046801721782326,1.117621714883677e-117,2477,2,7.197408016836807e-123,1.9787938274586415e-195,3.9116760020928695e-117,ZH916T1,2491,9.40804047915097e-122,1.175711916964063e-194,2.2724974869301434e-116
SPARC,0.0001227242537153685,2.1847666053055565e-121,0.010721792110525269,2.3916896583068777e-257,0.4383255227068477,1.1474252931167768e-163,2486,2,1.5293366237138895e-120,8.370913804074072e-257,5.354651367878291e-163,ZH916T1,2491,1.9990614438545843e-119,5.470990093376983e-256,2.999697552005288e-162
SERPINE1,0.00016359697750175815,1.2750678365113614e-36,0.011316406903013033,2.9088541500869034e-86,1.027536423590124,2.6978141057908805e-192,2303,7,5.9503165703863534e-36,3.702178009201514e-86,1.8884698740536165e-191,ZH916T1,2491,1.5555827605438608e-35,1.2674293082521507e-85,9.873999627194622e-191
HMGB1,0.00010198811278626629,3.555903390902064e-13,0.007369701667888983,1.8162244165956306e-99,0.447117718120669,5.168653725059405e-75,2190,6,1.2445661868157223e-12,2.5427141832338826e-99,1.2060192025138612e-74,ZH916T1,2491,1.8075842237085492e-12,1.0386533382406262e-98,4.978229640451954e-74
COL1A2,8.542489102682779e-05,1.129690982230719e-12,0.08333089250052941,1e-300,0.17948979698929554,1.6588161045935798e-63,2361,3,3.163134750246013e-12,7e-300,2.902928183038765e-63,ZH916T1,2491,5.3008576858518345e-12,4.575e-299,1.1243086931134262e-62
ITM2B,5.735111755195914e-05,1.6377031978757962e-12,0.005158525787392053,1.441903163319238e-125,0.08537198831797015,5.540627417467255e-23,2401,2,3.821307461710191e-12,2.883806326638476e-125,6.464065320378464e-23,ZH916T1,2491,7.492492130281768e-12,1.1994012676700935e-124,1.4484783105664393e-22
C3,3.4930589256824656e-05,9.784403410742596e-12,0.004146714600303151,4.290257967561432e-138,0.19306760620072053,1.1427823220962562e-102,2370,2,1.9568806821485192e-11,1.0010601924310007e-137,3.1997905018695173e-102,ZH916T1,2491,4.263204343252131e-11,4.1321958319144314e-137,1.9011742267601354e-101
TIMP2,0.00011460652245116198,2.4555805642460237e-06,0.001030461553646596,1.0494519557944229e-46,0.047463359983090606,0.0012859405817953835,1632,2,4.297265987430542e-06,1.0494519557944229e-46,0.0012859405817953835,ZH916T1,2491,7.366741692738071e-06,2.6308179165805396e-46,0.0016930009098457207
NCAM1,9.525532894647369e-05,9.454754134681514e-06,0.001745383695645843,6.415857391632654e-85,0.4573541903318208,2.1784244246248242e-66,1386,5,1.3390789952542258e-05,7.485166956904764e-85,4.3568488492496484e-66,ZH916T1,2491,2.6928731443024544e-05,2.730469541090176e-84,1.6610486237764286e-65
SERPINE2,3.2675391061973854e-05,9.564849966101613e-06,0.001455719679775931,1.0012129804441183e-74,0.16194514289390058,6.652263548325024e-46,1652,2,1.3390789952542258e-05,1.0782293635552043e-74,9.313168967655034e-46,ZH916T1,2491,2.6928731443024544e-05,3.592587753358307e-74,2.646443976833651e-45
DKK3,2.3024021645195387e-05,0.00012932873188974828,0.00217754102210716,9.544138376222207e-103,0.11172782472786655,1.201312448710221e-36,1937,2,0.00016460020422331598,1.6702242158388863e-102,1.5289431165402813e-36,ZH916T1,2491,0.0003073656874782329,6.022680423616083e-102,4.310591727724911e-36
AGT,8.260891788587914e-06,0.0006037603062823506,0.008299807863484446,4.050344350525785e-298,0.6132922219082998,2.5896235718041016e-265,1723,2,0.0007043870239960757,1.890160696912033e-297,3.6254730005257423e-264,ZH916T1,2491,0.0013474162932886604,1.4824260322924373e-296,2.369505568200753e-263
VCAN,9.809240174859465e-05,0.010477962556243546,0.0029015944968937926,6.60971137912358e-101,0.2555906901013264,2.604173915939357e-53,1595,3,0.011283959675954589,1.0281773256414458e-100,4.0509372025723333e-53,ZH916T1,2491,0.02001732168747514,4.0319239412653837e-100,1.2880103422078442e-52
COL3A1,5.303138943248026e-05,0.07165121235985587,0.03846142964933251,1e-300,0.036572626761769846,0.00017097647135999697,2245,2,0.07165121235985587,7e-300,0.00018412850761845826,ZH916T1,2491,0.1092680988487802,4.575e-299,0.0002406822635298419
SPP1,8.623643309763198e-05,8.832140685363201e-79,0.04257485214738412,1e-300,0.22565180776152785,8.378504610322816e-77,2038,2,1.3248211028044801e-77,7.5e-300,3.141939228871056e-76,ZH916bulk,2058,4.040704363553665e-77,4.575e-299,8.518146353828197e-76
SERPINE1,0.0002519485540608872,1.5411379850731076e-42,0.06724749780522095,1e-300,1.709040849039127,1e-300,1824,7,1.1558534888048307e-41,7.5e-300,1.5e-299,ZH916bulk,2058,2.563893193348897e-41,4.575e-299,1.83e-298
APP,9.565547167531998e-05,2.5030475181553176e-32,0.0021494769849630495,1.8344250857952801e-35,0.30553794105305027,5.313154100421152e-56,1867,3,1.2515237590776588e-31,2.116644329763785e-35,9.962163938289659e-56,ZH916bulk,2058,2.8628605988901445e-31,3.9494093023592506e-35,2.7008533343807523e-55
HMGB1,8.968265029428789e-05,4.186333582869986e-28,0.004890071722053837,6.886389776232319e-32,0.20750110361502383,6.157336940196e-26,1921,4,1.5698750935762447e-27,7.378274760248913e-32,8.396368554812727e-26,ZH916bulk,2058,4.256105809251153e-27,1.4002325878339048e-31,1.7072616061452545e-25
SERPINE2,0.00017734871026587774,3.2385694793596904e-23,0.0034144717300655402,3.122545736484335e-73,0.14282679140324567,1.2119256721725953e-65,1682,2,9.715708438079072e-23,5.2042428941405584e-73,3.0298141804314884e-65,ZH916bulk,2058,3.1192537616990705e-22,1.078162018446478e-72,8.871295920303398e-65
SPARC,5.153970849829623e-05,1.173317315182981e-15,0.0032303695060897837,1.1500834082324147e-63,0.23077132692107902,1.231119193685106e-49,2045,2,2.9332932879574527e-15,1.725125112348622e-63,2.0518653228085103e-49,ZH916bulk,2058,7.157235622616183e-15,3.3407184715322523e-63,5.632370311109361e-49
CTSB,4.070184183384559e-05,2.957587005850281e-14,0.0036347984037305115,3.809611840337223e-114,0.2532271106152296,9.368412880339401e-93,1999,2,6.337686441107746e-14,1.4286044401264585e-113,7.02630966025455e-92,ZH916bulk,2058,1.7459303937761338e-13,2.681380641468122e-113,1.1429463714014069e-91
NCAM1,0.00020815624260068905,1.2131661899767844e-13,0.0024119624321677037,1.4084366447899216e-35,0.49489948262474354,7.264306091751142e-27,1412,7,2.274686606206471e-13,1.760545805987402e-35,1.0896459137626711e-26,ZH916bulk,2058,6.529688610757398e-13,3.068379833292329e-35,2.1101079599848556e-26
IGFBP5,6.084327612641405e-05,4.019017057152294e-08,0.0024324132656005893,8.57914747970205e-105,0.4703442966351359,1.2701843486538913e-85,1077,3,6.69836176192049e-08,2.5737442439106152e-104,6.350921743269456e-85,ZH916bulk,2058,1.3372365844706724e-07,5.60708567423384e-104,1.4527733487728882e-84
AGT,2.3932207762472046e-05,3.092349759942932e-05,0.0064884001976643815,4.527474321274663e-119,0.11628643189238924,6.279026979219665e-72,1544,2,4.6385246399143985e-05,2.2637371606373316e-118,1.8837080937658995e-71,ZH916bulk,2058,8.111110518157805e-05,3.4521991699719306e-118,5.745309685985993e-71
TIMP2,0.00011254192105392752,0.007576874357067891,0.0008773559367547333,1.298830489373905e-29,0.05171439438159157,0.026008226798759346,1187,2,0.01033210139600167,1.298830489373905e-29,0.027865957284385012,ZH916bulk,2058,0.015071391384167654,2.583543256037224e-29,0.030905879897227016
VCAN,0.0001034843981841555,0.030834916820375816,0.003842721370653267,3.081685058676412e-88,0.4618657045134432,1.8633673985901032e-56,1164,4,0.03854364602546977,5.778159485018272e-88,3.9929301398359355e-56,ZH916bulk,2058,0.05374085502979785,1.4098709143444584e-87,1.002930099829379e-55
ITM2B,2.5784305328348795e-05,0.050050726369628006,0.002480613484839146,1.0995193385883122e-45,0.055375473280598275,0.0003107533033201965,2022,2,0.057750838118801544,1.499344552620426e-45,0.000358561503830996,ZH916bulk,2058,0.08034458706703443,2.7190816075900153e-45,0.0004275778534405712
COL3A1,8.140140357573167e-05,0.18387679730159404,0.00812983327624157,7.312226527258307e-101,0.027436795446372408,0.10940839272093977,1300,2,0.1970108542517079,1.8280566318145766e-100,0.10940839272093977,ZH916bulk,2058,0.2492552141199386,4.3165724338331293e-100,0.12208375529226817
COL1A2,0.00011056287250218734,0.22160263583265916,0.01276053334305119,3.904371425284089e-94,0.09505519716700717,5.326975938504102e-15,1496,3,0.22160263583265916,8.366510197037334e-94,6.658719923130128e-15,ZH916bulk,2058,0.2960093602728221,1.9847221411860784e-93,1.1888251179832326e-14
CLU,2.470105432036349e-05,1.728955039491432e-05,0.0009030664568337999,0.0001126987183415165,0.21330125205495376,0.012598989186310349,881,2,0.00031469335890120444,0.00025044159631448115,0.017998555980443358,ZH916inf,881,4.722369734730329e-05,0.00013479650625161776,0.015473926316072441
SPP1,0.0001525692857725329,3.1469335890120445e-05,0.012095075734442028,6.404308319620937e-23,0.3728549300890727,5.919992505045794e-17,857,2,0.00031469335890120444,1.2808616639241873e-21,1.1839985010091588e-15,ZH916inf,881,8.111110518157805e-05,1.1378528373695451e-22,1.3541982855292255e-16
NCAM1,0.0004411904242621424,0.0007479348646731108,0.004078541471395394,0.0003581462042731992,0.5958256144576294,0.0014997360641742096,679,5,0.004986232431154072,0.0006511749168603622,0.002499560106957016,ZH916inf,881,0.0016102597674726973,0.0004122060086917953,0.0019603692838848596
DKK3,0.0001147874999589036,0.03730757083853741,0.0022483979710456316,0.00070015466544044,0.14649989047346776,0.00027336037068068374,624,2,0.1501527177931183,0.001077161023754523,0.0005467207413613675,ZH916inf,881,0.06321560614307728,0.0007909154554049415,0.00038186983079820704
CTSB,5.2847558765477495e-05,0.04380869532463425,0.002376539850933212,2.7246187914237413e-05,0.3921319149320836,1.8091856317261235e-09,689,3,0.1501527177931183,7.784625118353546e-05,7.236742526904494e-09,ZH916inf,881,0.07288173858552789,3.346343884768756e-05,3.278029411939412e-09
ITM2B,0.000162153960373881,0.045045815337935495,0.004779318270200723,0.00022884946610814545,0.25746160318540107,0.03552253243890607,839,3,0.1501527177931183,0.0004576989322162909,0.044403165548632585,ZH916inf,881,0.07403284052714247,0.0002701900148244556,0.04193950604077297
IGFBP5,0.00013299546515122308,0.06610809965022013,0.0027643681311106004,8.288645210715266e-05,0.4971969926083489,3.025956022897705e-07,601,4,0.18888028471491466,0.00020721613026788166,8.645588636850587e-07,ZH916inf,881,0.10166203559655701,0.00010045179295105258,5.034090474457091e-07
APP,6.52542535222838e-05,0.17046066793777745,0.0013989905929193117,0.05956299924625807,0.32516033160738295,0.1936277082990539,769,5,0.42615166984444364,0.06618111027362007,0.20397081775566211,ZH916inf,881,0.23454362580912236,0.06158208396647021,0.20737033138492314
SPARCL1,0.00011344234364515399,0.20580070137197132,0.0033042143628726705,0.029685088907469646,0.30108904280616644,0.0026680575568290192,868,3,0.45733489193771404,0.03492363400878782,0.004104703933583106,ZH916inf,881,0.27692300258140257,0.03140099000038697,0.003390656478470212
EDIL3,2.3445191069276635e-05,0.26700451072799686,0.0026658878029170254,1.1311258521367255e-07,0.32765431908678233,1.0146149413722759e-11,710,2,0.514087390086319,4.524503408546902e-07,6.764099609148506e-11,ZH916inf,881,0.3540711990088654,1.5220296392722116e-07,2.0403794974849065e-11
SPARC,0.00019276776135109384,0.2875635117461098,0.005315467989414811,2.2487421216702095e-10,0.14941831109210593,2.2546015908191415e-05,658,2,0.514087390086319,1.1243710608351047e-09,5.01022575737587e-05,ZH916inf,881,0.37859081042833154,3.11757430504279e-10,3.4382674259991905e-05
HMGB1,0.0002942077419971137,0.33240773197080437,0.006063488884476572,0.0005469614855006852,0.7505434142268167,0.0005069778480434823,648,6,0.514087390086319,0.0009116024758344753,0.0009217779055336041,ZH916inf,881,0.4217289313846044,0.000621701564264754,0.0006923652700892332
LGALS3,9.031853988857144e-06,0.33415680355610733,0.0008201291081637113,0.0014917033897481446,0.2383593295400296,0.017911192676656855,195,2,0.514087390086319,0.0021123965853325054,0.023881590235542476,ZH916inf,881,0.4217289313846044,0.001634621079783895,0.021851655065521364
VCAN,0.00022699462808208333,0.3615300834096793,0.0015826973480162307,0.001584297438999379,0.6201169962656974,0.193772276867879,287,7,0.5162031228722574,0.0021123965853325054,0.20397081775566211,ZH916inf,881,0.450068063020213,0.00171554101382773,0.20737033138492314
SERPINE2,1.7405025587156495e-05,0.3871523421541931,0.000972668187223184,0.2741456390983142,0.1350922274934497,0.17503161112298996,326,2,0.5162031228722574,0.28857435694559386,0.20397081775566211,ZH916inf,881,0.47549582962561976,0.277174872679511,0.19065943354468548
C3,6.174020752005534e-05,0.4449500131029789,0.002743582794599311,2.854140599359132e-06,0.30961610614511464,1.7235809517213584e-11,696,2,0.5561875163787235,9.513801997863774e-06,8.617904758606793e-11,ZH916inf,881,0.5356963973542443,3.6525016061728755e-06,3.355482065585198e-11
TIMP2,7.543215973091501e-05,0.627525470881281,0.0003408493758088676,0.7222168025970896,0.1879127300859307,0.6923976685994867,166,2,0.7382652598603305,0.7222168025970896,0.6923976685994867,ZH916inf,881,0.6835545307813954,0.7222168025970896,0.7078702421994753
CCL2,1.0366740509448137e-05,0.6845636255965448,0.003249780336019794,7.767396706470726e-12,0.6200657537865198,5.448423264764499e-14,340,2,0.7606262506628276,7.767396706470726e-11,5.448423264764499e-13,ZH916inf,881,0.7326031782699866,1.1463174171646314e-11,1.1869779255379803e-13
AGT,3.0918323616792304e-05,0.754763888155638,0.0022837607181719908,0.01041075473915864,0.12985285613100328,6.379462103684656e-06,722,2,0.7813521341768469,0.0130134434239483,1.594865525921164e-05,ZH916inf,881,0.78926738018561,0.011076558821314135,1.0064151422192172e-05
SERPINE1,3.305617163783399e-05,0.7813521341768469,0.0014046385849433404,1.4290350390110392e-11,0.7575330108324244,9.224306870010123e-08,138,3,0.7813521341768469,9.526900260073594e-11,3.074768956670041e-07,ZH916inf,881,0.8033002278335,2.0755032709446047e-11,1.577615100197993e-07
